timeTick, laserFront
40160, 157586.96875, 119075.3125, 157712.125, 155431.28125, 144274.984375, 154544.671875
40180, 157585.046875, 119081.2265625, 157714.0625, 155425.546875, 144290.78125, 154547.75
40200, 157590.8125, 119082.7109375, 157710.203125, 155426.875, 144290.78125, 154542.1875
40220, 157588.890625, 119080.4921875, 157714.0625, 155435.703125, 144284.796875, 154545.265625
40240, 157585.046875, 119078.2578125, 157710.203125, 155429.375, 144287.25, 154552.71875
40260, 157588.890625, 119080.4921875, 157712.125, 155429.375, 144288.328125, 154538.421875
40280, 157585.046875, 119086.390625, 157714.0625, 155441.265625, 144290.09375, 154545.265625
40300, 157588.890625, 119087.140625, 157710.203125, 155431.28125, 144294.3125, 154556.5
40320, 157588.890625, 119087.875, 157712.125, 155427.453125, 144288.328125, 154546.5625
40340, 157586.96875, 119082.7109375, 157714.0625, 155434.9375, 144282.34375, 154545.265625
40360, 157588.890625, 119078.2734375, 157714.0625, 155429.375, 144286.5625, 154544.671875
40380, 157585.046875, 119087.125, 157710.203125, 155434.359375, 144284.796875, 154551.53125
40400, 157585.046875, 119075.3125, 157710.203125, 155424.953125, 144288.328125, 154544.078125
40420, 157588.890625, 119082.7109375, 157712.125, 155431.875, 144283.703125, 154549.640625
40440, 157585.046875, 119083.4453125, 157712.125, 155430.53125, 144282.34375, 154547.75
40460, 157586.96875, 119084.1796875, 157712.125, 155433.03125, 144286.5625, 154552.125
40480, 157585.046875, 119079.0078125, 157712.125, 155428.03125, 144289.015625, 154534.734375
40500, 157586.96875, 119085.65625, 157712.125, 155436.859375, 144284.796875, 154544.671875
40520, 157588.890625, 119077.5234375, 157706.34375, 155428.03125, 144295.6875, 154539.703125
40540, 157588.890625, 119089.359375, 157715.984375, 155432.453125, 144284.109375, 154535.328125
40560, 157586.96875, 119073.828125, 157710.203125, 155433.03125, 144291.46875, 154546.5625
40580, 157588.890625, 119084.1875, 157714.0625, 155436.28125, 144293.921875, 154546.5625
40600, 157590.8125, 119083.4453125, 157714.0625, 155425.546875, 144282.34375, 154533.453125
40620, 157583.125, 119076.7890625, 157712.125, 155439.359375, 144289.015625, 154547.15625
40640, 157586.96875, 119087.140625, 157712.125, 155445.109375, 144290.78125, 154545.265625
40660, 157588.890625, 119092.3125, 157712.125, 155433.03125, 144285.875, 154541.59375
40680, 157586.96875, 119083.4453125, 157714.0625, 155436.28125, 144284.796875, 154542.1875
40700, 157590.8125, 119083.4453125, 157714.0625, 155436.859375, 144283.421875, 154549.640625
40720, 157586.96875, 119090.09375, 157714.0625, 155436.859375, 144288.328125, 154542.78125
40740, 157586.96875, 119083.4453125, 157712.125, 155438.203125, 144278.125, 154547.75
40760, 157590.8125, 119087.140625, 157714.0625, 155439.9375, 144289.015625, 154547.15625
40780, 157586.96875, 119081.2265625, 157712.125, 155439.9375, 144288.328125, 154548.4375
40800, 157585.046875, 119083.4453125, 157712.125, 155432.453125, 144280.96875, 154538.421875
40820, 157585.046875, 119087.875, 157714.0625, 155434.9375, 144288.328125, 154549.046875
40840, 157586.96875, 119086.390625, 157712.125, 155429.953125, 144287.25, 154539.703125
40860, 157588.890625, 119090.09375, 157712.125, 155441.859375, 144282.34375, 154542.1875
40880, 157585.046875, 119079.7421875, 157714.0625, 155434.359375, 144287.25, 154549.640625
40900, 157586.96875, 119087.140625, 157712.125, 155432.453125, 144277.4375, 154547.15625
40920, 157588.890625, 119087.140625, 157714.0625, 155441.265625, 144283.421875, 154537.8125
40940, 157586.96875, 119087.140625, 157712.125, 155436.859375, 144282.34375, 154540.296875
40960, 157590.8125, 119090.09375, 157712.125, 155443.765625, 144284.796875, 154544.078125
40980, 157588.890625, 119081.9765625, 157715.984375, 155436.859375, 144293.234375, 154554.015625
41000, 157588.890625, 119087.875, 157715.984375, 155436.859375, 144279.890625, 154550.234375
41020, 157585.046875, 119083.4453125, 157710.203125, 155437.4375, 144287.640625, 154544.671875
41040, 157586.96875, 119079.7578125, 157714.0625, 155442.4375, 144288.328125, 154546.5625
41060, 157590.8125, 119081.9609375, 157715.984375, 155441.859375, 144282.34375, 154541.59375
41080, 157588.890625, 119084.1875, 157708.265625, 155437.4375, 144286.5625, 154544.078125
41100, 157585.046875, 119085.65625, 157715.984375, 155436.28125, 144286.5625, 154533.453125
41120, 157585.046875, 119086.40625, 157712.125, 155434.359375, 144296.765625, 154546.5625
41140, 157588.890625, 119093.0546875, 157714.0625, 155437.4375, 144281.65625, 154537.8125
41160, 157586.96875, 119087.875, 157712.125, 155439.359375, 144284.109375, 154534.734375
41180, 157586.96875, 119089.359375, 157714.0625, 155434.9375, 144279.890625, 154542.1875
41200, 157588.890625, 119081.9609375, 157710.203125, 155439.359375, 144286.5625, 154549.640625
41220, 157588.890625, 119082.7109375, 157714.0625, 155436.859375, 144278.125, 154542.1875
41240, 157586.96875, 119087.875, 157712.125, 155434.359375, 144285.875, 154547.75
41260, 157590.8125, 119090.828125, 157715.984375, 155436.28125, 144285.875, 154548.4375
41280, 157590.8125, 119084.9140625, 157710.203125, 155438.203125, 144292.546875, 154544.671875
