timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, pitch
153439, 1.7735118865966797, -3.3361432552337646, 0.004064942244440317, -0.060622017830610275, -0.009078774601221085, 0.006233751308172941, 118715.359375, 148769.578125, 89940.0234375, 120177.1953125, 139874.296875, 98394.359375, 0.0, 0.0, 0.0, 0.0, 1.7795405387878418, -3.3347620964050293, -0.009821540676057339, 84.15550231933594, 3.9732766151428223
153460, 1.773339867591858, -3.335930585861206, 0.005109403282403946, -0.06101150065660477, -0.006809533573687077, 0.012616490945219994, 118710.296875, 148773.734375, 89939.671875, 120182.4765625, 139870.25, 98391.5703125, 0.0, 0.0, 0.0, 0.0, 1.7802863121032715, -3.3348793983459473, -0.0110489996150136, 84.13109588623047, 4.0113959312438965
153479, 1.7735679149627686, -3.336029291152954, 0.0038385966327041388, -0.05881650373339653, -0.008196511305868626, 0.0032852147705852985, 118716.1640625, 148772.34375, 89933.8359375, 120186.21875, 139871.515625, 98390.296875, 0.0, 0.0, 0.0, 0.0, 1.7807828187942505, -3.335151433944702, -0.01141083799302578, 84.1416244506836, 3.9549145698547363
153500, 1.7738646268844604, -3.3362877368927, 0.004996694158762693, -0.05854078009724617, -0.011084899306297302, 0.011765758506953716, 118714.671875, 148771.4375, 89940.8203125, 120179.390625, 139864.4375, 98390.296875, 0.0, 0.0, 0.0, 0.0, 1.7795166969299316, -3.334805965423584, -0.0098494878038764, 84.23673248291016, 3.9812850952148438
153519, 1.7739391326904297, -3.3358154296875, 0.004235280677676201, -0.056077949702739716, -0.00579311978071928, 0.005279888864606619, 118718.359375, 148769.125, 89939.671875, 120191.2578125, 139870.765625, 98386.7578125, 0.0, 0.0, 0.0, 0.0, 1.780413269996643, -3.334929943084717, -0.011101380921900272, 84.24898529052734, 4.006376266479492
153539, 1.7738019227981567, -3.33642315864563, 0.0026184306479990482, -0.05727142468094826, -0.01195929292589426, -0.0067803943529725075, 118719.046875, 148771.4375, 89938.875, 120180.9375, 139873.046875, 98389.546875, 0.0, 0.0, 0.0, 0.0, 1.7795042991638184, -3.3348195552825928, -0.009884586557745934, 84.22296142578125, 4.007297039031982
153560, 1.7737677097320557, -3.336224317550659, 0.003927323967218399, -0.056672193109989166, -0.00955813005566597, 0.0030211941339075565, 118713.9765625, 148774.203125, 89941.6171875, 120178.7421875, 139869.75, 98386.2421875, 0.0, 0.0, 0.0, 0.0, 1.7803665399551392, -3.334902763366699, -0.011102117598056793, 84.19451141357422, 4.000017166137695
153579, 1.7745507955551147, -3.335508108139038, 0.0025573773309588432, -0.04980722442269325, -0.0028100544586777687, -0.005994143430143595, 118716.859375, 148770.046875, 89938.5234375, 120186.8671875, 139873.046875, 98392.84375, 0.0, 0.0, 0.0, 0.0, 1.780652403831482, -3.3351283073425293, -0.011276723816990852, 84.25704193115234, 3.9613680839538574
153600, 1.7740870714187622, -3.3361432552337646, 0.003768012160435319, -0.05416218191385269, -0.009179655462503433, 0.0026333611458539963, 118719.734375, 148767.28125, 89940.46875, 120189.0625, 139870.765625, 98391.0546875, 0.0, 0.0, 0.0, 0.0, 1.780725121498108, -3.335144281387329, -0.011259196326136589, 84.18492126464844, 3.97587251663208
153619, 1.7736395597457886, -3.3361778259277344, 0.002264227718114853, -0.05931814759969711, -0.009741529822349548, -0.007239015772938728, 118716.0546875, 148778.34375, 89937.7265625, 120177.8515625, 139876.578125, 98391.5703125, 0.0, 0.0, 0.0, 0.0, 1.7803081274032593, -3.3348655700683594, -0.010919744148850441, 84.23570251464844, 4.009950637817383
153640, 1.773386001586914, -3.3358101844787598, 0.003694151295349002, -0.060461197048425674, -0.0061934166587889194, 0.003167021321132779, 118716.859375, 148774.65625, 89936.9296875, 120180.9375, 139869.75, 98392.328125, 0.0, 0.0, 0.0, 0.0, 1.7802027463912964, -3.3348846435546875, -0.010449649766087532, 84.2175521850586, 4.0349860191345215
153659, 1.7734540700912476, -3.3359689712524414, 0.0022705807350575924, -0.06068842113018036, -0.007871688343584538, -0.006154909264296293, 118716.1640625, 148776.5, 89938.875, 120178.0859375, 139862.15625, 98386.9921875, 0.0, 0.0, 0.0, 0.0, 1.780772089958191, -3.335196018218994, -0.011387328617274761, 84.1927490234375, 3.9973697662353516
153679, 1.7729934453964233, -3.336232900619507, 0.003783342195674777, -0.06356201320886612, -0.010064549744129181, 0.005261035170406103, 118716.859375, 148773.734375, 89940.8203125, 120182.4765625, 139865.1875, 98390.8203125, 0.0, 0.0, 0.0, 0.0, 1.7807466983795166, -3.3351149559020996, -0.011153221130371094, 84.20974731445312, 4.020237445831299
153699, 1.7731879949569702, -3.3360557556152344, 0.002626221626996994, -0.061881162226200104, -0.008779831230640411, -0.0021409052424132824, 118713.9765625, 148771.890625, 89941.6171875, 120176.546875, 139869.75, 98389.546875, 0.0, 0.0, 0.0, 0.0, 1.7807000875473022, -3.3350915908813477, -0.01120851282030344, 84.22916412353516, 4.016552925109863
153719, 1.772884488105774, -3.336747646331787, 0.001036956557072699, -0.06467227637767792, -0.01441989466547966, -0.011017227545380592, 118712.484375, 148773.28125, 89944.7109375, 120172.8046875, 139870.25, 98390.8203125, 0.0, 0.0, 0.0, 0.0, 1.7803528308868408, -3.3348824977874756, -0.01103817019611597, 84.20545959472656, 4.071783065795898
153739, 1.7734770774841309, -3.3362948894500732, 0.00293085933662951, -0.06051276624202728, -0.01077810488641262, 0.0013969792053103447, 118714.671875, 148771.4375, 89938.875, 120181.5859375, 139872.03125, 98392.328125, 0.0, 0.0, 0.0, 0.0, 1.7802964448928833, -3.3348782062530518, -0.01104765571653843, 84.2153091430664, 4.014469623565674
