timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, whiskerP1_2, whiskerP2_2, laserFront
110641, 0.5730023384094238, 0.013217030093073845, 0.27124252915382385, 0.19356609880924225, -0.0006300588138401508, 0.02015087939798832, 158309.359375, 119359.515625, 158412.84375, 144605.5, 132550.265625, 153383.171875, 40966.0, 42434.0, 40966.0, 44286.0, 0.05745094642043114, -0.04509393498301506, 0, 0, 87.0
110661, 0.5763511657714844, 0.013168910518288612, 0.2716287672519684, 0.1922031193971634, -0.0010496460599824786, 0.01827513426542282, 158305.46875, 119369.1953125, 158410.890625, 144603.671875, 132548.59375, 153390.671875, 38772.0, 44479.0, 42886.0, 42019.0, 0.10743308812379837, -0.022591065615415573, 0, 0, 88.0
110681, 0.58131343126297, 0.01345769315958023, 0.27116140723228455, 0.19507358968257904, -0.0005598514690063894, 0.010465642437338829, 158309.359375, 119358.0078125, 158414.796875, 144601.1875, 132552.6875, 153385.671875, 37095.0, 45750.0, 44326.0, 40684.0, 0.09384357929229736, -0.01893978752195835, 0, 0, 88.0
110701, 0.5869914889335632, 0.013342585414648056, 0.2713114619255066, 0.19970449805259705, -0.001208294415846467, 0.006960887927561998, 158307.421875, 119369.9140625, 158410.890625, 144606.796875, 132555.84375, 153391.84375, 36893.0, 45077.0, 44715.0, 41751.0, 0.13007859885692596, -0.008471549488604069, 0, 0, 88.0
110721, 0.5902408361434937, 0.013778784312307835, 0.27126628160476685, 0.1980259269475937, -0.00044027739204466343, 0.00305304117500782, 158305.46875, 119367.6875, 158410.890625, 144614.21875, 132561.421875, 153405.078125, 36936.0, 46120.0, 45133.0, 40693.0, 0.12343241274356842, -0.006340707186609507, 0, 0, 88.0
110741, 0.5922247171401978, 0.01302730105817318, 0.27132943272590637, 0.19314201176166534, -0.002745887264609337, 0.0005150333745405078, 158305.46875, 119363.9609375, 158406.984375, 144614.21875, 132558.25, 153398.75, 37799.0, 45468.0, 44361.0, 41852.0, 0.1459202766418457, -0.019833358004689217, 0, 0, 88.0
110761, 0.5969534516334534, 0.013631234876811504, 0.2713247537612915, 0.1955031156539917, -0.0016303585143759847, -0.00011168503988301381, 158305.46875, 119367.6875, 158408.9375, 144612.390625, 132560.671875, 153393.03125, 38533.0, 44228.0, 43955.0, 43158.0, 0.16350746154785156, -0.022555621340870857, 0, 0, 89.0
110781, 0.5996521711349487, 0.013598756864666939, 0.27121296525001526, 0.1926967203617096, -0.002194738481193781, -0.0010102199157699943, 158305.46875, 119366.1875, 158410.890625, 144622.3125, 132575.90625, 153406.84375, 43442.0, 39681.0, 39490.0, 46806.0, 0.16242298483848572, -0.05644994229078293, 0, 0, 89.0
110801, 0.6037472486495972, 0.013365634717047215, 0.2711876630783081, 0.19360458850860596, -0.0032399874180555344, -0.0021278143394738436, 158305.46875, 119368.4140625, 158408.9375, 144622.3125, 132575.90625, 153406.84375, 42909.0, 41170.0, 39869.0, 45995.0, 0.1709892749786377, -0.10471025109291077, 0, 0, 89.0
110821, 0.6066940426826477, 0.013413285836577415, 0.2723028063774109, 0.1915820837020874, -0.003628684440627694, 0.0033722759690135717, 158303.515625, 119374.3671875, 158406.984375, 144625.4375, 132566.984375, 153415.515625, 45232.0, 38945.0, 37429.0, 47394.0, 0.20097185671329498, -0.10547507554292679, 0, 0, 32766.0
110841, 0.6127372980117798, 0.012737342156469822, 0.2723473012447357, 0.19769996404647827, -0.005821652244776487, 0.0035298431757837534, 158307.421875, 119376.59375, 158408.9375, 144629.75, 132576.65625, 153414.921875, 46432.0, 37615.0, 35585.0, 48011.0, 0.1986726075410843, -0.14801661670207977, 0, 0, 32766.0
