timestamp,whisker1_1,whisker2_2
1714396627.352361,[8.87653109],[25.16115105]
1714396627.3626604,[10.60367884],[29.13043612]
1714396627.37286,[10.60367884],[29.13043612]
1714396627.3831599,[12.84540696],[32.02185425]
1714396627.3934758,[12.84540696],[32.02185425]
1714396627.403757,[14.60009781],[34.89452045]
1714396627.414053,[14.60009781],[34.89452045]
1714396627.424336,[16.09979727],[37.87528724]
1714396627.4348257,[16.09979727],[37.87528724]
1714396627.4451032,[17.97747003],[40.47966561]
1714396627.4553714,[17.97747003],[40.47966561]
1714396627.4656508,[20.01110196],[43.99537868]
1714396627.4762273,[20.01110196],[43.99537868]
1714396627.4865246,[21.73265961],[46.27460129]
1714396627.4968762,[21.73265961],[46.27460129]
1714396627.5071657,[23.22055161],[47.68946397]
1714396627.5174532,[23.22055161],[47.68946397]
1714396627.5277338,[24.90445251],[50.56032563]
1714396627.5380006,[24.90445251],[50.56032563]
1714396627.5482976,[26.96233429],[52.985922]
1714396627.5585668,[26.96233429],[52.985922]
1714396627.5690224,[28.74471825],[55.24859753]
1714396627.5795534,[28.74471825],[55.24859753]
1714396627.5898414,[30.46109335],[57.92586768]
1714396627.6003067,[30.46109335],[57.92586768]
1714396627.6105769,[32.11762402],[60.9689765]
1714396627.620854,[32.11762402],[60.9689765]
1714396627.6311414,[34.05640932],[63.57531504]
1714396627.6414201,[34.05640932],[63.57531504]
1714396627.6516883,[35.74942472],[66.26227317]
1714396627.6619701,[35.74942472],[66.26227317]
1714396627.6724834,[36.66229748],[70.60872294]
1714396627.6830292,[38.18549945],[74.52678367]
1714396627.6933837,[38.18549945],[74.52678367]
1714396627.7036507,[39.73228721],[77.5195226]
1714396627.7139611,[39.73228721],[77.5195226]
1714396627.7242439,[39.73228721],[77.5195226]
1714396627.7345214,[40.80410194],[80.62921531]
1714396627.7447484,[42.19472899],[82.9548333]
1714396627.7550313,[42.19472899],[82.9548333]
1714396627.7652326,[43.17241697],[86.28141741]
1714396627.7758262,[43.17241697],[86.28141741]
1714396627.7861264,[44.27643227],[89.95171038]
1714396627.7964,[44.27643227],[89.95171038]
1714396627.8066878,[45.46835445],[93.11138339]
1714396627.81715,[45.46835445],[93.11138339]
1714396627.8274357,[46.13205536],[96.68268404]
1714396627.8378649,[46.13205536],[96.68268404]
1714396627.8481424,[46.82047801],[98.50185261]
1714396627.8587127,[46.82047801],[98.50185261]
1714396627.8689942,[47.23779116],[100.62693411]
1714396627.8792653,[47.23779116],[100.62693411]
1714396627.8896515,[47.88609604],[103.23903625]
1714396627.8999066,[47.88609604],[103.23903625]
1714396627.910175,[48.35777584],[104.88912455]
1714396627.9204514,[48.35777584],[104.88912455]
1714396627.9308705,[48.22303124],[106.04572294]
1714396627.941152,[48.22303124],[106.04572294]
1714396627.951432,[48.08871694],[106.81825477]
1714396627.961914,[47.66323614],[108.2252926]
1714396627.9721901,[47.66323614],[108.2252926]
1714396627.9827986,[47.04714983],[109.59815276]
1714396627.993146,[47.04714983],[109.59815276]
1714396628.0034277,[46.44216157],[109.96339252]
1714396628.0137067,[46.44216157],[109.96339252]
1714396628.0239844,[45.80297475],[109.94014035]
1714396628.0342517,[45.80297475],[109.94014035]
1714396628.0445366,[45.13392311],[108.43383048]
1714396628.0548565,[45.13392311],[108.43383048]
1714396628.0653,[44.05735193],[106.46224244]
1714396628.0755727,[44.05735193],[106.46224244]
1714396628.0858526,[43.22579055],[105.21816077]
1714396628.0963354,[43.22579055],[105.21816077]
1714396628.1066303,[42.7461556],[103.60850499]
1714396628.1170335,[42.7461556],[103.60850499]
1714396628.1273313,[41.86100648],[102.27177909]
1714396628.1376066,[41.86100648],[102.27177909]
1714396628.148242,[40.70749296],[100.67243947]
1714396628.158516,[40.70749296],[100.67243947]
1714396628.1687884,[39.18149135],[97.4857047]
1714396628.1790698,[39.18149135],[97.4857047]
1714396628.1893854,[36.96665585],[94.15781999]
1714396628.199665,[36.96665585],[94.15781999]
1714396628.2099419,[35.24283716],[91.08694654]
1714396628.2202713,[35.24283716],[91.08694654]
1714396628.2305355,[33.43961065],[87.5595608]
1714396628.2408226,[33.43961065],[87.5595608]
1714396628.2510824,[31.20778296],[83.50334063]
1714396628.2613175,[31.20778296],[83.50334063]
1714396628.2716095,[29.06875301],[78.27606423]
1714396628.281892,[29.06875301],[78.27606423]
